site1,site2,SzSz,SxSx,SySy,SxSy,SySx,SzSx,SxSz,SzSy,SySz
5,15,0.011346837259822933,0.01134683725982287,0.01134683725982287,-3.9662317755182613e-19j,1.338100298424981e-18j,-4.055049532784979e-16,-6.680972371468294e-20,-3.0821411368215854e-18j,-3.8006061293857077e-16j
6,7,0.019714320076444365,0.01971432007644438,0.01971432007644435,3.0357660829594124e-18j,-3.903127820947816e-18j,-4.3151246464923076e-17,5.421010862427522e-18,-8.673617379884035e-19j,-1.1037178115902435e-16j
6,8,-0.012302675174804545,-0.012302675174804595,-0.012302675174804547,3.022187086023742e-19j,3.022187086023742e-19j,9.722490536058502e-16,-2.0838697950905397e-18,-1.1733722425187208e-18j,9.905788498931557e-16j
6,9,0.014378289966702058,0.014378289966692475,0.01437828996670128,3.2526065174565133e-18j,-3.686287386450715e-18j,-5.2710223338858775e-14,5.095750210681871e-18,-1.0842021724855044e-18j,-4.46191477862512e-14j
6,10,-0.00882137094946048,-0.00882137094948493,-0.008821370949466098,-9.9709012781632e-19j,-9.9709012781632e-19j,-4.571454508732145e-14,-4.597694837696342e-18,1.688877817706668e-18j,9.013351495357658e-15j
6,11,0.011176398488430706,0.011176398488440795,0.011176398488432479,8.673617379884035e-19j,-8.673617379884035e-19j,3.4941667614862837e-15,3.2526065174565133e-18,-1.0842021724855044e-18j,-1.6447780637474096e-14j
6,12,-0.006388392017579676,-0.006388392017590251,-0.006388392017582577,9.286525126561327e-19j,-8.060709633206744e-19j,-1.1242973300324344e-14,-2.5055366928680213e-18,-1.6474724649647137e-18j,8.472984537020841e-15j
6,13,0.008667760801543155,0.008667760801553097,0.00866776080154579,-1.0299920638612292e-18j,7.047314121155779e-19j,4.265793447644217e-15,3.7947076036992655e-18,1.0842021724855044e-19j,-1.2720944089772424e-14j
6,14,-0.020536473862322345,-0.02053647386232239,-0.02053647386232232,-1.6263032587282567e-18j,1.8431436932253575e-18j,1.0191500421363742e-17,-1.5178830414797062e-18,3.686287386450715e-18j,6.288372600415926e-18j
6,15,-0.020536473862322345,-0.02053647386232239,-0.02053647386232232,-1.6263032587282567e-18j,1.8431436932253575e-18j,1.0191500421363742e-17,-1.5178830414797062e-18,3.686287386450715e-18j,6.288372600415926e-18j
